DCA License Number,License Type,License Expiration Date,License Status,License Creation Date,Industry,Business Name,Business Name 2,Address Building,Address Street Name,Secondary Address Street Name,Address City,Address State,Address ZIP,Contact Phone Number,Address Borough,Borough Code,Community Board,Council District,BIN,BBL,NTA,Census Tract,Detail,Longitude,Latitude,Location
1070856-DCA,Business,12/31/04,Inactive,1/5/01,Tobacco Retail Dealer,"DOOKHAN, HAROLD",CAESAR'S GROCERY & DELI,8619,SUTTER AVE,,OZONE PARK,NY,11417,7183238139,Queens,4,410,32,4190296,4091470036,QN56,54,,-73.85039347,40.67589608,"(40.675896079942085, -73.8503934722929)"
1398066-DCA,Business,7/26/20,Inactive,6/27/11,Sidewalk Cafe,UNCLE ABIES DELI ON FIRST INC.,2ND AVENUE DELI,1442,1ST AVE,,NEW YORK,NY,10021,2127371700,Manhattan,1,108,5,1045916,1014690046,MN31,132,"Sidewalk Cafe Type: Enclosed, Square Feet: 565, Tables: 11, Chairs: 40",-73.95463753,40.76965477,"(40.769654765206866, -73.95463753329575)"
2096068-1-DCA,Business,11/30/21,Active,7/27/20,Electronic Cigarette Dealer,TWO BROTHERS DELI & GRILL CORP,,10720,LIBERTY AVE,,OZONE PARK,NY,11417,3472230978,Queens,4,410,32,4202231,4095300010,,,,-73.83416943,40.68348511,"(40.683485109935305, -73.83416943297395)"
2041423-DCA,Business,3/31/22,Active,7/28/16,Stoop Line Stand,JOEY EXPRESS DELI INC,,1951,SOUTHERN BLVD,,BRONX,NY,10460,347-755-1727,Bronx,2,206,17,2010159,2029600070,,,"Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.88570516,40.84253988,"(40.84253987666255, -73.88570515700712)"
2078168-DCA,Business,3/31/22,Active,9/14/18,Stoop Line Stand,"BAILEY'S QUICK STOP DELI, INC",,141,W 231ST ST,,BRONX,NY,10463,646-789-3867,Bronx,2,208,14,2016143,2032670001,,,"Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 2, 5.01 to 10 foot stands: 0",-73.90258192,40.8780965,"(40.878096495652684, -73.90258191620947)"
2096067-1-DCA,Business,12/31/21,Active,7/27/20,Tobacco Retail Dealer,TWO BROTHERS DELI & GRILL CORP,,10720,LIBERTY AVE,,OZONE PARK,NY,11417,3472230978,Queens,4,410,32,4202231,4095300010,,,,-73.83416943,40.68348511,"(40.683485109935305, -73.83416943297395)"
1377103-DCA,Business,12/31/21,Inactive,11/16/10,Tobacco Retail Dealer,LUCY DELI GROCERY CORP,,85,EUCLID AVE,,BROOKLYN,NY,11208,3472408113,Brooklyn,3,305,37,3090905,3041050001,BK83,117602,,-73.87499992,40.68675633,"(40.68675632878457, -73.87499991717529)"
2042713-DCA,Business,3/31/22,Active,8/22/16,Stoop Line Stand,"CORONA 103RD, INC",SUPERIOR DELI & GRILL,10302,CORONA AVE,,CORONA,NY,11368,718-271-1150,Queens,4,404,21,4047406,4019290056,,,"Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 3, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.85966661,40.74410148,"(40.74410147849074, -73.85966661464143)"
2029034-2-DCA,Business,12/31/20,Inactive,10/1/15,Tobacco Retail Dealer,FAST STOP DELI & GROCERY CORP,,898,RICHMOND AVE,,STATEN ISLAND,NY,10303,718-981-4306,Staten Island,5,501,49,5026488,5011480018,SI12,239,,-74.14857477,40.62542354,"(40.625423537081446, -74.14857477228026)"
2094836-DCA,Business,3/31/22,Active,2/26/20,Stoop Line Stand,NEW SABA DELI & GROCERY INC,,382,MYRTLE AVE,,BROOKLYN,NY,11205,6316407626,Brooklyn,3,302,35,3058393,3020750022,,,"Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 3, 5 foot stands: 6, 5.01 to 10 foot stands: 0",-73.97070419,40.69315816,"(40.69315816457007, -73.97070418982076)"
