Address,Role,Property Class,Square feet,Sale date,Sale price,Total debt,Landlord
"420 E 73rd St, New York, NY, 10021",Sole member,Old Law Tenement (C4),"10,145",6/30/2010,$1,"$5,236,634",Larry Hirschfield
"424 E 83rd St, New York, NY, 10028",Managing Member,Over Six Families without Stores (C1),"8,345",10/13/2006,"$950,000","$5,553,712",Larry Hirschfield
"508 W 151st St, New York, NY, 10031",Managing Member,Over Six Families without Stores (C1),"12,040",3/9/2018,"$16,850,000","$5,307,000",Larry Hirschfield
"520 W 151st St, New York, NY, 10031",Managing Member,Over Six Families without Stores (C1),"13,535",3/9/2018,"$16,850,000","$5,307,000",Larry Hirschfield
"3656 Broadway, New York, NY, 10031",Managing Member,Single or Multiple Dwelling with Stores or Offices (S9),"7,764",3/9/2018,"$16,850,000","$5,307,000",Larry Hirschfield
"535 W 151st St, New York, NY, 10031",President,Elevator Apartments Cooperatives Building (Other than Condominiums) (XD4),"31,850",3/9/2018,"$16,850,000",$0,Larry Hirschfield
"510 W 152nd St, New York, NY, 10031",Managing Member,Over Six Families without Stores (C1),"13,680",3/9/2018,"$16,850,000","$5,307,000",Larry Hirschfield
"519 W 152nd St, New York, NY, 10031",Managing Member,Over Six Families without Stores (C1),"17,440",3/9/2018,"$16,850,000","$5,307,000",Larry Hirschfield
"1414 Walton Ave, Bronx, NY, 10452",Member,Over Six Families without Stores (C1),"43,170",6/6/2019,"$7,935,000","$18,335,500",Larry Hirschfield
"2240 Tiebout Ave, Bronx, NY, 10457",Member,Over Six Families without Stores (C1),"45,445",7/18/2019,"$9,200,000","$29,319,300",Larry Hirschfield
"1160 Evergreen Ave, Bronx, NY, 10472",Member,Elevator Apartment - Semi-fireproof without Stores (D1),"63,000",7/18/2019,"$9,200,000","$29,319,300",Larry Hirschfield
"213 Sackett St, Brooklyn, NY, 11231",Member,Over Six Families without Stores (C1),"5,000",8/14/2019,"$8,700,000","$7,200,000",Larry Hirschfield
"361 Court St, Brooklyn, NY, 11231",Member,Walk-up Apartment - Over Six Families with Stores (C7),"11,186",8/14/2019,"$8,700,000","$7,200,000",Larry Hirschfield
"239 Carroll St, Brooklyn, NY, 11231",Member,Over Six Families without Stores (C1),"3,750",8/14/2019,"$8,700,000","$7,200,000",Larry Hirschfield
"519 St Marks Ave, Brooklyn, NY, 11238",Managing Member,Elevator Apartment - Semi-fireproof without Stores (D1),"39,313",9/12/2013,$0,"$18,718,138",Larry Hirschfield
