Address,Role,Property Class,Square feet,Sale date,Sale price,Total debt,Landlord
"126 W 83rd St, New York, NY, 10024",Vice-President,Elevator Apartment - Fireproof with Stores (D6),"62,394",4/9/86,$0 ,"$7,500,036 ",Richard Christopher Bramwell Jr.
"1209 Dean St, Brooklyn, NY, 11216",Officer,Converted Dwellings or Rooming House (C5),"4,000",6/19/06,$5 ,"$6,118,520 ",Richard Christopher Bramwell Jr.
"1199 Dean St, Brooklyn, NY, 11216",President,Over Six Families without Stores (C1),"2,749",5/29/01,$0 ,$0 ,Richard Christopher Bramwell Jr.
"82 Kingston Ave, Brooklyn, NY, 11213",Officer,Five to Six Families (C2),"4,320",12/10/01,$0 ,"$1,078,215 ",Richard Christopher Bramwell Jr.
"108 Albany Ave, Brooklyn, NY, 11213",President,Single or Multiple Dwelling with Stores or Offices (S9),"10,586",6/28/12,"$42,000 ","$12,374,180 ",Richard Christopher Bramwell Jr.
"129 Rogers Ave, Brooklyn, NY, 11216",Officer,Five to Six Families (C2),"5,370",6/19/06,$5 ,"$6,118,520 ",Richard Christopher Bramwell Jr.
"121 Rogers Ave, Brooklyn, NY, 11216",Chairman,Five to Six Families (C2),"5,370",12/18/02,$0 ,"$9,392,000 ",Richard Christopher Bramwell Jr.
"1102 President St, Brooklyn, NY, 11225",CEO (Chief Executive Officer),Elevator Apartment - Miscellaneous (D9),"14,600",12/11/79,$0 ,"$3,596,069 ",Richard Christopher Bramwell Jr.
"1106 President St, Brooklyn, NY, 11225",General Partner,Elevator Apartment - Miscellaneous (D9),"14,600",12/11/79,$0 ,"$3,596,069 ",Richard Christopher Bramwell Jr.
"1076 Carroll St, Brooklyn, NY, 11225",Owner,Two Family Brick (B1),"4,176",7/18/11,$0 ,$0 ,Richard Christopher Bramwell Jr.
"415 Rogers Ave, Brooklyn, NY, 11225",Officer,Five to Six Families (C2),"5,400",6/19/06,$5 ,"$6,118,520 ",Richard Christopher Bramwell Jr.
"192 Utica Ave, Brooklyn, NY, 11213",Chairman,Over Six Families without Stores (C1),"8,360",6/19/06,$5 ,"$6,118,520 ",Richard Christopher Bramwell Jr.
"1429 Sterling Pl, Brooklyn, NY, 11213",President,Two Family Brick (B1),"2,904",6/28/12,"$42,000 ",$0 ,Richard Christopher Bramwell Jr.
"1492 Park Pl, Brooklyn, NY, 11213",CEO (Chief Executive Officer),Walk-up Apartment - Over Six Families with Stores (C7),"17,408",12/30/15,"$7,536,040 ","$99,140,966 ",Richard Christopher Bramwell Jr.
"1619 Lincoln Pl, Brooklyn, NY, 11233",Managing Member,Five to Six Families (C2),"5,749",6/24/14,$1 ,"$11,185,023 ",Richard Christopher Bramwell Jr.
"2174 Atlantic Ave, Brooklyn, NY, 11233",CEO (Chief Executive Officer),Over Six Families without Stores (C1),"17,000",12/30/15,"$1,140,460 ","$81,378,025 ",Richard Christopher Bramwell Jr.
"295 Saratoga Ave, Brooklyn, NY, 11233",Member,Two Family Brick (B1),"2,136",6/24/09,$0 ,$0 ,Richard Christopher Bramwell Jr.
