Address,Role,Property Class,Square feet,Sale date,Sale price,Total debt,Landlord
"559 St Johns Pl, Brooklyn, NY, 11238",CEO (Chief Executive Officer),Five to Six Families (C2),"3,300",11/4/2011,"$526,000","$3,565,505",Shulem Herman
"1319 Bedford Ave, Brooklyn, NY, 11216",Owner,Over Six Families without Stores (C1),"6,712",8/6/2014,"$1,700,000","$8,244,000",Shulem Herman
"1556 Atlantic Ave, Brooklyn, NY, 11213",Sole member,Over Six Families without Stores (C1),"3,972",1/14/2014,"$735,000","$4,660,132",Shulem Herman
"967 Bergen St, Brooklyn, NY, 11216",Owner (ACRIS),Over Six Families without Stores (C1),"15,360",8/15/2006,"$1,600,000","$12,873,312",Shulem Herman
"988 Bergen St, Brooklyn, NY, 11216",Sole member,Over Six Families without Stores (C1),"14,936",2/1/2006,"$1,450,000","$10,786,682",Shulem Herman
"1046 Bergen St, Brooklyn, NY, 11216",Sole member,Over Six Families without Stores (C1),"10,920",11/14/2017,$0,"$9,998,095",Shulem Herman
"1054 Bergen St, Brooklyn, NY, 11216",Managing Member,Over Six Families without Stores (C1),"10,848",8/26/2004,"$1,240,000","$11,330,576",Shulem Herman
"643 Prospect Pl, Brooklyn, NY, 11216",Sole member,Over Six Families without Stores (C1),"12,558",7/25/2006,"$945,000","$7,494,584",Shulem Herman
"763 Park Pl, Brooklyn, NY, 11216",Managing Member,Over Six Families without Stores (C1),"9,408",3/21/2007,"$710,000","$6,934,789",Shulem Herman
"666 Park Pl, Brooklyn, NY, 11216",CEO (Chief Executive Officer),Over Six Families without Stores (C1),"9,928",3/1/2005,$0,"$7,392,605",Shulem Herman
"788 Park Pl, Brooklyn, NY, 11216",Managing Member,Over Six Families without Stores (C1),"9,624",2/2/2010,"$1,100,000","$5,940,453",Shulem Herman
"771 St Johns Pl, Brooklyn, NY, 11216",Manager,Five to Six Families (C2),"5,004",5/7/2013,"$900,000","$12,600,000",Shulem Herman
"1317 Union St, Brooklyn, NY, 11225",Member,Over Six Families without Stores (C1),"10,200",2/6/2013,"$1,035,000","$20,727,080",Shulem Herman
"706 Myrtle Ave, Brooklyn, NY, 11205",Member,Single or Multiple Dwelling with Stores or Offices (S9),"7,075",10/25/2013,"$1,590,000","$3,700,000",Shulem Herman
"645 Willoughby Ave, Brooklyn, NY, 11206",Member,Over Six Families without Stores (C1),"9,067",8/24/2011,"$1,400,000","$36,651,387",Shulem Herman
"1 Spencer CT, Brooklyn, NY, 11205",Owner (ACRIS),Over Six Families without Stores (C1),"7,800",4/26/2006,"$1,100,000","$8,313,965",Shulem Herman
"111 Van Buren St, Brooklyn, NY, 11221",Manager,Over Six Families without Stores (C1),"4,982",3/22/2016,"$1,100,000","$4,300,000",Shulem Herman
"93 Halsey St, Brooklyn, NY, 11216",Sole member,Elevator Apartment - Semi-Fireproof with Stores (D7),"14,065",9/25/2008,"$1,950,000","$16,938,384",Shulem Herman
"277 Halsey St, Brooklyn, NY, 11216",Member,Over Six Families without Stores (C1),"8,768",12/12/2012,"$675,000","$20,822,764",Shulem Herman
"1516 Fulton St, Brooklyn, NY, 11216",,Elevator Apartment - Semi-Fireproof with Stores (D7),"20,685",3/11/2015,"$2,400,000","$30,025,000",Shulem Herman
"940 Kent Ave, Brooklyn, NY, 11205",Member,Over Six Families without Stores (C1),"6,872",12/31/2012,"$1,325,000","$8,575,241",Shulem Herman
"194 Skillman St, Brooklyn, NY, 11205",President,Five to Six Families (C2),"6,450",9/12/2007,"$1,010,000","$5,887,361",Shulem Herman
"183 Skillman St, Brooklyn, NY, 11205",Sole member,Two Family Converted from One Family (B3),"2,717",6/8/2016,"$499,900",$0,Shulem Herman
"1116 Bedford Ave, Brooklyn, NY, 11216",Owner,Primarily Five to Six Family with One Store or Office (S5),"4,166",7/18/2011,"$430,000","$5,008,699",Shulem Herman
"86 Havemeyer St, Brooklyn, NY, 11211",Managing Member,Four Families (C3),"3,825",4/21/2016,"$2,250,000","$6,483,264",Shulem Herman
"66 S 2nd St, Brooklyn, NY, 11249",Member,One Story Retail Building (K1),"3,750",10/14/2016,"$5,400,000","$22,024,313",Shulem Herman
"359 S 4th St, Brooklyn, NY, 11211",Sole member,Over Six Families without Stores (C1),"6,000",9/14/2005,"$1,050,000","$19,339,560",Shulem Herman
"56-58 Greenpoint Ave, Brooklyn, NY, 11222",Manager,Walk-up Apartment - Over Six Families with Stores (C7),"11,449",5/26/2016,"$4,325,000","$14,333,273",Shulem Herman
"391 Meeker Ave, Brooklyn, NY, 11222",Managing Member,Fireproof Warehouse (E1),"2,958",1/20/2015,"$2,400,000","$1,800,000",Shulem Herman
"141 Frost St, Brooklyn, NY, 11211",Sole member,Five to Six Families (C2),"4,125",11/5/2010,$0,$0,Shulem Herman
"137 Frost St, Brooklyn, NY, 11211",,Miscellaneous Warehouse (E9),"7,700",7/14/2015,"$5,350,000","$10,603,839",Shulem Herman
"701 Grand St, Brooklyn, NY, 11211",Sole member,Primarily Two Family with One Store or Office (S2),"3,750",11/11/2015,"$2,800,000","$2,100,000",Shulem Herman
"959 Metropolitan Ave, Brooklyn, NY, 11211",Sole member,Over Six Families without Stores (C1),"5,500",2/23/2015,"$9,000,000","$14,765,860",Shulem Herman
"955 Metropolitan Ave, Brooklyn, NY, 11211",Shareholder,Over Six Families without Stores (C1),"5,500",2/23/2015,"$9,000,000","$14,765,860",Shulem Herman
"953 Metropolitan Ave, Brooklyn, NY, 11211",Sole member,Over Six Families without Stores (C1),"5,500",2/23/2015,"$9,000,000","$14,765,860",Shulem Herman
"949 Metropolitan Ave, Brooklyn, NY, 11211",Sole member,Over Six Families without Stores (C1),"5,500",2/23/2015,"$9,000,000","$14,765,860",Shulem Herman
"93 Knickerbocker Ave, Brooklyn, NY, 11237",Authorized Signatory,Five to Six Families (C2),"4,125",9/10/2003,"$475,000","$5,415,219",Shulem Herman
"218 Boerum St, Brooklyn, NY, 11206",Manager,Five to Six Families (C2),"4,084",12/8/2011,"$830,000","$6,884,451",Shulem Herman
"459 Bushwick Ave, Brooklyn, NY, 11206",Manager,Single or Multiple Dwelling with Stores or Offices (S9),"7,000",8/6/2014,"$1,425,000","$20,290,663",Shulem Herman
"907 Broadway, Brooklyn, NY, 11206",Member,Primarily Two Family with One Store or Office (S2),"4,875",3/4/2015,"$1,500,000","$10,635,938",Shulem Herman
"578 Bushwick Ave, Brooklyn, NY, 11206",,Primarily Four Family with One Store or Office (S4),"4,500",2/17/2009,"$553,000","$5,989,538",Shulem Herman
"254 Melrose St, Brooklyn, NY, 11206",Member,Five to Six Families (C2),"5,355",3/3/2009,"$630,000","$1,304,424",Shulem Herman
"418 Melrose St, Brooklyn, NY, 11237",Member,Over Six Families without Stores (C1),"6,500",12/12/2012,"$999,000","$8,019,107",Shulem Herman
"127 Evergreen Ave, Brooklyn, NY, 11206",Managing Member,Over Six Families without Stores (C1),"5,750",10/23/2013,"$2,650,000","$5,376,578",Shulem Herman
"125 Evergreen Ave, Brooklyn, NY, 11206",Managing Member,Over Six Families without Stores (C1),"5,750",10/23/2013,"$2,650,000","$5,376,578",Shulem Herman
"262 Jefferson St, Brooklyn, NY, 11237",Sole member,Five to Six Families (C2),"4,125",12/21/2006,$0,"$4,941,500",Shulem Herman
