Address,Role,Property Class,Square feet,Sale date,Sale price,Total debt,Landlord
"39 E 30th St, New York, NY, 10016",Manager,Office with Commercial - 1 to 6 Stories (O5),"7,400",2/22/2016,"$4,000,000","$6,804,579",Yehuda Cohen
"45 W 68th St, New York, NY, 10023",Owner,Converted Dwellings or Rooming House (C5),"7,095",2/11/2020,$0,"$18,619,663",Yehuda Cohen
"228 Lenox Ave, New York, NY, 10027",Managing Member,Predominant Retail with Other Uses (K4),"5,206",3/16/2020,"$2,500,000","$2,500,000",Yehuda Cohen
"1961 Madison Ave, New York, NY, 10035",Sole member,Walk-up Apartment - Over Six Families with Stores (C7),"4,584",1/8/2004,"$715,000","$5,476,418",Yehuda Cohen
"146 W 133rd St, New York, NY, 10030",Managing Member,Three Families (C0),"4,227",7/26/2007,$0,"$7,319,712",Yehuda Cohen
"100 Edgecombe Ave, New York, NY, 10030",Managing Member,Five to Six Families (C2),"3,221",2/12/2014,"$950,000","$1,760,000",Yehuda Cohen
"630 Bergen St, Brooklyn, NY, 11238",Member,Four Families (C3),"4,256",10/25/2017,$0,"$2,473,000",Yehuda Cohen
"635 Sterling Pl, Brooklyn, NY, 11238",President,Over Six Families without Stores (C1),"7,221",4/13/2018,"$3,200,000","$9,450,000",Yehuda Cohen
"820 Classon Ave, Brooklyn, NY, 11238",Manager,Over Six Families without Stores (C1),"5,724",3/26/2018,"$3,600,000","$5,600,000",Yehuda Cohen
"1185 Dean St, Brooklyn, NY, 11216",Sole member,Converted Dwellings or Rooming House (C5),"3,390",3/26/2018,"$1,800,000","$2,200,000",Yehuda Cohen
"1163 Dean St, Brooklyn, NY, 11216",Managing Member,Four Families (C3),"2,792",6/7/2019,"$900,000",$0,Yehuda Cohen
"1308 Pacific St, Brooklyn, NY, 11216",Sole member,Five to Six Families (C2),"4,608",7/9/2018,"$2,072,500","$7,442,753",Yehuda Cohen
"1310 Pacific St, Brooklyn, NY, 11216",Managing Member,Five to Six Families (C2),"4,800",9/12/2012,"$699,000","$5,838,126",Yehuda Cohen
"1407 Dean St, Brooklyn, NY, 11216",Managing Member,Four Families (C3),"3,901",3/10/2020,"$1,600,000",$0,Yehuda Cohen
"997 Bergen St, Brooklyn, NY, 11216",Member,Three Families (C0),"3,460",2/10/2014,$0,"$5,191,450",Yehuda Cohen
"1182 Dean St, Brooklyn, NY, 11216",Owner,Two Family Converted from One Family (B3),"3,884",10/17/2019,"$1,810,000",$0,Yehuda Cohen
"130 New York Ave, Brooklyn, NY, 11216",Member,Five to Six Families (C2),"3,510",10/22/2010,"$590,000","$2,893,679",Yehuda Cohen
"678 St Marks Ave, Brooklyn, NY, 11216",Managing Member,Primarily Five to Six Family with One Store or Office (S5),"3,000",12/11/2014,"$1,000,000","$2,984,000",Yehuda Cohen
"702 St Marks Ave, Brooklyn, NY, 11216",Shareholder,Primarily Four Family with One Store or Office (S4),"4,292",2/26/2021,$0,"$3,244,250",Yehuda Cohen
"728 Prospect Pl, Brooklyn, NY, 11216",Managing Member,Primarily Two Family with One Store or Office (S2),"4,538",11/13/2020,"$1,100,000",$0,Yehuda Cohen
"802 Sterling Pl, Brooklyn, NY, 11216",Managing Member,Three Families (C0),"2,400",12/4/2017,"$1,050,000",$0,Yehuda Cohen
"750 Mac Donough St, Brooklyn, NY, 11233",Member,Five to Six Families (C2),"5,089",12/16/2019,"$1,700,000","$2,500,000",Yehuda Cohen
"481 Chauncey St, Brooklyn, NY, 11233",Owner,Five to Six Families (C2),"5,657",7/20/2017,"$1,775,000","$1,665,000",Yehuda Cohen
