DCA License Number,License Type,License Expiration Date,License Status,License Creation Date,Industry,Business Name,Business Name 2,Address Building,Address Street Name,Secondary Address Street Name,Address City,Address State,Address ZIP,Contact Phone Number,Address Borough,Borough Code,Community Board,Council District,BIN,BBL,NTA,Census Tract,Detail,Longitude,Latitude,Location
1394098-DCA,Business,2022-12-31,Active,6/1/11,Tobacco Retail Dealer,HALSEY SUPERMARKET DELI CORP.,,169,HALSEY ST,,BROOKLYN,NY,11216,718-622-4259,Brooklyn,3.0,303.0,36.0,3052690.0,3018380046.0,BK75,249.0,,-73.94707507,40.68213221,"(40.68213221261493, -73.94707507223367)"
1043782-DCA,Business,2022-12-31,Active,11/30/00,Tobacco Retail Dealer,"SALEH, FAISUL T",NOSTRAND DELI & GROCERY,669,NOSTRAND AVE,,BROOKLYN,NY,11216,718-953-1714,Brooklyn,3.0,308.0,36.0,3030990.0,3012270001.0,BK61,31701.0,,-73.95005896,40.67444269,"(40.674442689003634, -73.95005896262542)"
2060628-2-DCA,Business,2022-12-31,Active,11/13/17,Tobacco Retail Dealer,THUNDER DELI CORP,,725,NOSTRAND AVE,,BROOKLYN,NY,11216,718-484-8138,Brooklyn,3.0,308.0,35.0,3031915.0,3012480008.0,BK61,31702.0,,-73.95025156,40.67239517,"(40.67239516966863, -73.95025155866516)"
1473360-DCA,Business,2022-12-31,Active,9/12/13,Tobacco Retail Dealer,ONE STOP TO SHOP GOURMET & DELI CORP,,1339,FULTON ST,,BROOKLYN,NY,11216,718-783-2383,Brooklyn,3.0,303.0,36.0,3053248.0,3018490035.0,BK75,249.0,,-73.9480031,40.68031285,"(40.680312851038515, -73.94800310083563)"
2049010-2-DCA,Business,2022-12-31,Active,3/2/17,Tobacco Retail Dealer,NEW WAY NATURAL MARKET AND DELI CORP,,390,TOMPKINS AVE,,BROOKLYN,NY,11216,347-885-1100,Brooklyn,3.0,303.0,36.0,3338716.0,3018340035.0,BK75,267.0,,-73.94403776,40.68391213,"(40.68391213302259, -73.94403775899217)"
2059587-2-DCA,Business,2022-12-31,Inactive,10/19/17,Tobacco Retail Dealer,GATE FINEST DELI CORP,,318,TOMPKINS AVE,,BROOKLYN,NY,11216,631-992-0203,Brooklyn,3.0,303.0,36.0,3051170.0,3018140031.0,BK75,265.0,,-73.94461226,40.68679442,"(40.68679442152985, -73.94461225818598)"
2099856-2-DCA,Business,2022-12-31,Active,7/2/21,Tobacco Retail Dealer,FULTON DELI AND SMOKE SHOP CORP,,1403,FULTON ST,,BROOKLYN,NY,11216,9173914851,Brooklyn,3.0,303.0,36.0,3053471.0,3018540061.0,,,,-73.94506844,40.68015504,"(40.68015503534684, -73.9450684449953)"
1221510-DCA,Business,2022-12-31,Inactive,3/21/06,Tobacco Retail Dealer,DEAN DELI GROCERY CORP.,,1050,DEAN ST,,BROOKLYN,NY,11216,718-399-9978,Brooklyn,3.0,308.0,35.0,3030246.0,3012110009.0,BK61,221.0,,-73.95505714,40.67748596,"(40.67748596060282, -73.95505714467012)"
2099566-2-DCA,Business,2022-12-31,Active,6/21/21,Tobacco Retail Dealer,JAYRAN DELI GROCERY INC,,1050,DEAN ST,,BROOKLYN,NY,11216,347-495-4662,Brooklyn,3.0,308.0,35.0,3030246.0,3012110009.0,,,,-73.95505714,40.67748596,"(40.67748596060282, -73.95505714467012)"
2098906-2-DCA,Business,2022-12-31,Active,5/25/21,Tobacco Retail Dealer,613 FRESH DELI AND GROCERY CORP,,613,NOSTRAND AVE,,BROOKLYN,NY,11216,6462676105,Brooklyn,3.0,308.0,36.0,3337844.0,3012130001.0,,,,-73.9498918,40.676213,"(40.67621299633303, -73.94989179930965)"
